"Person" "Item" "Score"
"1" 1 "item1" 3
"2" 2 "item1" 4
"3" 3 "item1" 3
"4" 4 "item1" 2
"5" 5 "item1" 2
"6" 6 "item1" 4
"7" 7 "item1" 2
"8" 8 "item1" 3
"9" 9 "item1" 3
"10" 10 "item1" 4
"11" 1 "item2" 2
"12" 2 "item2" 1
"13" 3 "item2" 1
"14" 4 "item2" 2
"15" 5 "item2" 2
"16" 6 "item2" 1
"17" 7 "item2" 3
"18" 8 "item2" 1
"19" 9 "item2" 1
"20" 10 "item2" 1
"21" 1 "item3" 3
"22" 2 "item3" 4
"23" 3 "item3" 3
"24" 4 "item3" 2
"25" 5 "item3" 2
"26" 6 "item3" 3
"27" 7 "item3" 3
"28" 8 "item3" 4
"29" 9 "item3" 3
"30" 10 "item3" 3
"31" 1 "item4" 2
"32" 2 "item4" 3
"33" 3 "item4" 3
"34" 4 "item4" 2
"35" 5 "item4" 2
"36" 6 "item4" 3
"37" 7 "item4" 2
"38" 8 "item4" 4
"39" 9 "item4" 3
"40" 10 "item4" 2
"41" 1 "item5" 2
"42" 2 "item5" 1
"43" 3 "item5" 1
"44" 4 "item5" 2
"45" 5 "item5" 1
"46" 6 "item5" 1
"47" 7 "item5" 2
"48" 8 "item5" 1
"49" 9 "item5" 1
"50" 10 "item5" 1
"51" 1 "item6" 1
"52" 2 "item6" 1
"53" 3 "item6" 1
"54" 4 "item6" 2
"55" 5 "item6" 1
"56" 6 "item6" 1
"57" 7 "item6" 3
"58" 8 "item6" 1
"59" 9 "item6" 1
"60" 10 "item6" 1
"61" 1 "item7" 4
"62" 2 "item7" 4
"63" 3 "item7" 3
"64" 4 "item7" 2
"65" 5 "item7" 3
"66" 6 "item7" 4
"67" 7 "item7" 2
"68" 8 "item7" 4
"69" 9 "item7" 3
"70" 10 "item7" 4
"71" 1 "item8" 1
"72" 2 "item8" 1
"73" 3 "item8" 1
"74" 4 "item8" 2
"75" 5 "item8" 2
"76" 6 "item8" 1
"77" 7 "item8" 4
"78" 8 "item8" 1
"79" 9 "item8" 1
"80" 10 "item8" 2
"81" 1 "item9" 1
"82" 2 "item9" 1
"83" 3 "item9" 1
"84" 4 "item9" 2
"85" 5 "item9" 2
"86" 6 "item9" 1
"87" 7 "item9" 4
"88" 8 "item9" 1
"89" 9 "item9" 1
"90" 10 "item9" 1
"91" 1 "item10" 3
"92" 2 "item10" 4
"93" 3 "item10" 3
"94" 4 "item10" 2
"95" 5 "item10" 2
"96" 6 "item10" 4
"97" 7 "item10" 1
"98" 8 "item10" 3
"99" 9 "item10" 3
"100" 10 "item10" 4
"101" 1 "item11" 4
"102" 2 "item11" 2
"103" 3 "item11" 4
"104" 4 "item11" 4
"105" 5 "item11" 2
"106" 6 "item11" 5
"107" 7 "item11" 4
"108" 8 "item11" 2
"109" 9 "item11" 4
"110" 10 "item11" 4
