"studentID" "Exam" "Revise" "Anxiety" "bestanden" "fehlendePunkte" "Note" "Note_2" "Durchschnitt"
"1" 1 40 4 86.298 "durchgefallen" 60 5 4 4.5
"2" 2 65 11 88.716 "bestanden" 35 3 3 3
"3" 3 80 27 70.178 "bestanden" 20 2 1 1.5
"4" 4 80 53 61.312 "bestanden" 20 2 3 2.5
"5" 5 40 4 89.522 "durchgefallen" 60 5 5 5
"6" 6 70 22 60.506 "bestanden" 30 3 3 3
"7" 7 20 16 81.462 "durchgefallen" 80 5 3 4
"8" 8 55 21 75.82 "bestanden" 45 4 3 3.5
"9" 9 50 25 69.372 "bestanden" 50 4 3 3.5
"10" 10 40 18 82.268 "durchgefallen" 60 5 2 3.5
"11" 11 45 18 79.044 "durchgefallen" 55 5 3 4
"12" 12 85 16 80.656 "bestanden" 15 2 3 2.5
"13" 13 70 13 70.178 "bestanden" 30 3 1 2
"14" 14 50 18 75.014 "bestanden" 50 4 3 3.5
"15" 15 95 98 34.714 "bestanden" 5 1 4 2.5
"16" 16 70 1 95.164 "bestanden" 30 3 4 3.5
"17" 17 95 14 75.82 "bestanden" 5 1 4 2.5
"18" 18 95 29 79.044 "bestanden" 5 1 5 3
"19" 19 50 4 91.134 "bestanden" 50 4 3 3.5
"20" 20 60 23 64.536 "bestanden" 40 4 2 3
"21" 21 80 14 80.656 "bestanden" 20 2 3 2.5
"22" 22 75 12 77.432 "bestanden" 25 3 1 2
"23" 23 85 22 65.342 "bestanden" 15 2 2 2
"24" 24 30 23 71.79 "durchgefallen" 70 5 3 4
"25" 25 60 26 81.462 "bestanden" 40 4 3 3.5
"26" 26 75 24 63.73 "bestanden" 25 3 4 3.5
"27" 27 75 72 27.46 "bestanden" 25 3 3 3
"28" 28 27 37 73.402 "durchgefallen" 73 5 2 3.5
"29" 29 20 10 89.522 "durchgefallen" 80 5 1 3
"30" 30 75 3 89.522 "bestanden" 25 3 3 3
"31" 31 90 36 75.014 "bestanden" 10 2 1 1.5
"32" 32 60 43 43.58 "bestanden" 40 4 3 3.5
"33" 33 30 19 82.268 "durchgefallen" 70 5 3 4
"34" 34 80 12 79.044 "bestanden" 20 2 2 2
"35" 35 10 9 79.044 "durchgefallen" 90 5 2 3.5
"36" 36 85 72 37.132 "bestanden" 15 2 5 3.5
"37" 37 7 10 81.462 "durchgefallen" 93 5 1 3
"38" 38 5 12 83.074 "durchgefallen" 95 5 3 4
"39" 39 85 30 50.834 "bestanden" 15 2 4 3
